169.60.131.131 mongo-config-ibm2.stilingue.com.br
169.60.131.158 mongo-config-ibm3.stilingue.com.br
169.60.131.130 mongo-config-ibm4.stilingue.com.br
169.60.131.189 mongo-config-ibm5.stilingue.com.br
169.60.131.190 mongo-config-ibm6.stilingue.com.br
169.60.131.191 mongo-config-ibm7.stilingue.com.br
169.60.131.154 mongo-config-ibm-sqi1.stilingue.com.br
169.60.131.155 mongo-config-ibm-sqi2.stilingue.com.br
169.60.131.156 mongo-config-ibm-sqi3.stilingue.com.br
169.60.131.149 mongo-server-ibm2.stilingue.com.br
169.60.131.150 mongo-server-ibm3.stilingue.com.br
169.60.131.151 mongo-server-ibm4.stilingue.com.br
169.60.131.152 mongo-server-ibm5.stilingue.com.br
169.60.131.153 mongo-server-ibm6.stilingue.com.br
169.60.131.154 mongo-server-ibm7.stilingue.com.br
169.60.131.155 mongo-server-ibm8.stilingue.com.br
169.60.131.156 mongo-server-ibm9.stilingue.com.br
169.60.131.157 mongo-server-ibm10.stilingue.com.br
169.60.131.148 mongo-server-ibm11.stilingue.com.br
169.60.133.192 mongo-server-ibm12.stilingue.com.br
169.60.133.193 mongo-server-ibm13.stilingue.com.br
169.60.133.194 mongo-server-ibm14.stilingue.com.br
169.60.133.195 mongo-server-ibm15.stilingue.com.br
169.60.133.196 mongo-server-ibm16.stilingue.com.br
169.60.133.197 mongo-server-ibm17.stilingue.com.br
169.60.133.198 mongo-server-ibm18.stilingue.com.br
169.60.133.199 mongo-server-ibm19.stilingue.com.br
169.60.133.194 mongo-server-ibm27.stilingue.com.br
169.60.133.195 mongo-server-ibm28.stilingue.com.br
169.60.133.196 mongo-server-ibm29.stilingue.com.br
169.60.133.193 mongo-server-ibm30.stilingue.com.br
169.60.133.192 mongo-server-ibm31.stilingue.com.br
169.60.133.210 mongo-server-ibm32.stilingue.com.br
169.60.133.209 mongo-server-ibm33.stilingue.com.br
169.60.133.197 mongo-server-ibm34.stilingue.com.br
169.60.133.196 mongo-server-ibm35.stilingue.com.br
169.60.133.195 mongo-server-ibm36.stilingue.com.br
169.60.133.206 mongo-server-ibm37.stilingue.com.br
169.60.132.182 mongo-datasource-ibm1.stilingue.com.br
169.60.132.186 mongo-datasource-ibm1a.stilingue.com.br
169.60.132.190 mongo-datasource-ibm1b.stilingue.com.br
10.186.209.24 solr-ibm1.stilingue.com.br
10.186.209.25 solr-ibm2.stilingue.com.br
10.186.209.26 solr-ibm3.stilingue.com.br
10.186.209.48 solr-ibm4.stilingue.com.br
10.186.209.78 solr-ibm5.stilingue.com.br
10.186.209.79 solr-ibm6.stilingue.com.br
10.186.209.113 solr-ibm7.stilingue.com.br
10.186.209.114 solr-ibm8.stilingue.com.br
10.186.209.115 solr-ibm9.stilingue.com.br
10.186.209.116 solr-ibm10.stilingue.com.br
10.186.209.189 solr-ibm11.stilingue.com.br
10.186.209.190 solr-ibm12.stilingue.com.br
10.186.209.191 solr-ibm13.stilingue.com.br
10.186.209.192 solr-ibm14.stilingue.com.br
10.186.209.193 solr-ibm15.stilingue.com.br
10.186.209.201 solr-ibm16.stilingue.com.br
10.186.209.202 solr-ibm17.stilingue.com.br
10.186.209.203 solr-ibm18.stilingue.com.br
10.186.209.204 solr-ibm19.stilingue.com.br
10.186.209.205 solr-ibm20.stilingue.com.br
10.186.209.206 solr-ibm21.stilingue.com.br
10.186.209.207 solr-ibm22.stilingue.com.br
10.186.209.208 solr-ibm23.stilingue.com.br
10.186.209.128 solr-retroativo.stilingue.com.br
